Drilled depth (m),Drilling date,Well_ID,NZTM X,NZTM Y,Maximum diameter (mm),"# These data were compiled by Rupert Sutherland from Bay of Plenty and Waikato Regional Councils, Feb 2025"
129.00,12/03/2010,RR11539,1884608,5772566,100.00,
128.00,19/10/2024,BN24-0102,1885723,5774228,100.00,
128.00,,RR1056,1883890,5771933,100.00,
128.00,1/08/1970,RR610,1884553,5772141,152.40,
128.00,1/08/1970,RR903,1884553,5772141,100.00,
127.50,10/04/2001,RR1048,1884568,5773889,100.00,
127.50,1/08/1976,RR746,1884361,5771903,100.00,
127.00,1/05/2019,BN19-0083,1884735,5772920,100.00,
126.80,,RR755,1883966,5771963,100.00,
126.00,,BN20-0098,1885164,5774386,100.00,
126.00,19/10/2001,RR1053,1885280,5773500,100.00,
126.00,14/10/1980,RR836,1884275,5774949,100.00,
125.60,1/12/1964,RR530,1884201,5772334,100.00,
125.60,1/02/1985,RR906,1885076,5772734,100.00,
125.05,1/07/1975,RR726,1885296,5773261,100.00,
125.05,19/02/1979,RR804,1885341,5773414,150.00,
125.05,,RR872,1885092,5773031,100.00,
125,30/05/2019,72_10280,1877490,5761410,100,
125.00,17/03/2008,RR10649,1885302,5774370,100.00,
125.00,1/02/1975,RR717,1885258,5772219,100.00,
124.90,1/02/1984,RR900,1884965,5773230,100.00,
124.40,,RR873,1884584,5772543,98.00,
124.30,1/02/1980,RR826,1884540,5773196,100.00,
124,27/02/2015,72_7910,1866363,5748406,100,
124.00,10/03/1987,BN21-0091,1885440,5773780,100.00,
123.50,21/03/1978,RR782,1884677,5772419,,
123.40,1/03/1964,RR463,1884896,5773843,100.00,
123.40,27/10/1975,RR712,1883984,5771798,100.00,
123.10,1/09/1964,RR508,1884913,5773960,75.00,
123,29/06/2015,72_9231,1845199,5745106,100,
123.00,21/03/2004,BN20-0078,1884743,5772494,100.00,
123.00,,RR1069,1885078,5772791,,
123.00,16/02/2010,RR11537,1885298,5774263,100.00,
122.50,14/10/1960,RR255,1884831,5772856,75.00,
122.50,,RR795,1884355,5775133,100.00,
122.40,7/06/2024,BN24-0043,1885295,5774377,100.00,
122.00,10/03/2014,RR12160,1885030,5773201,100.00,
122.00,2/06/1976,RR744,1884791,5772976,100.00,
121.92,31/12/1899,68_233,1868627,5711964,75,
121.92,31/12/1899,68_341,1868819,5711909,100,
